numConvenio,numOriginal,uf,municipioConvenente,situacao,tipoTransferencia,objetivo,orgaoSuperior,orgao,concedente,convenente,valorCelebrado,dataInicioVigencia,dataFimVigencia,quantidade,ValorTotal,Valor_2018
812706,00006/2014,SP,SÃO PAULO,PRESTAÇÃO DE CONTAS APROVADA,Não se aplica,O presente Convenio tem por objeto o pagamento da anuidade da IEC - Comissao Eletrotecnica Internaci...,Ministério da Economia,Ministério da Economia - Unidades com vínculo direto,COORDENACAO-GERAL DE RECURSOS LOGISTICOS,"COMITE BRASILEIRO DE ELETRICIDADE, ELETRONICA, ILUMINACAO E TELECOMUNICACOES - COBEI","150.000,00",30/12/2014,18/10/2015,0,150000,0
680380,TASPPE 178/2011,SP,JABOTICABAL,ADIMPLENTE,TRANSFERENCIA LEGAL,"EXECUÇÃO DO PROJOVEM TRABALHADOR, INTEGRANTE DO PROGRAMA NACIONAL DE INCLUSÃO DE JOVENS, NO MUNICÍPI...",Ministério da Economia,Ministério da Economia - Unidades com vínculo direto,SECRETARIA DE POL. PÚBLICAS PARA EMPREGO,MUNICIPIO DE JABOTICABAL,"1.710.786,00",18/10/2011,31/03/2016,0,0,0
762002,00015/2011,SP,BRAGANÇA PAULISTA,PRESTAÇÃO DE CONTAS APROVADA,Não se aplica,"Construcao de 1 Barracao Industrial e Instalacao de Micro, Pequenas e Medias Empresas.",Ministério da Economia,Ministério da Economia - Unidades com vínculo direto,COORDENACAO-GERAL DE RECURSOS LOGISTICOS,MUNICIPIO DE BRAGANCA PAULISTA,"200.000,00",30/12/2011,23/10/2015,0,200000,0
746507,00022/2010,SP,VARGEM GRANDE DO SUL,PRESTAÇÃO DE CONTAS APROVADA,Não se aplica,"Construcao de um Barracao Industrial para a instalacao de micro, pequenas e medias empresas.",Ministério da Economia,Ministério da Economia - Unidades com vínculo direto,COORDENACAO-GERAL DE RECURSOS LOGISTICOS,MUNICIPIO DE VARGEM GRANDE DO SUL,"200.000,00",31/12/2010,27/05/2016,0,400000,0
841918,00001/2016,SP,SÃO PAULO,PRESTAÇÃO DE CONTAS EM ANÁLISE,Não se aplica,"Atuar no desenvolvimento das competencias socioemocionais para alavancar atitudes e valores, que imp...",Ministério da Economia,Ministério da Economia - Unidades com vínculo direto,COORDENACAO-GERAL DE RECURSOS LOGISTICOS,BRASSCOM - ASSOCIACAO BRASILEIRA DAS EMPRESAS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO,"630.000,00",30/12/2016,24/12/2017,0,854207,0
800811,00001/2014,SP,SANTO ANDRÉ,PRESTAÇÃO DE CONTAS EM ANÁLISE,Não se aplica,Desenvolvimento de programa de extensionismo industrial para 25 industrias de pequeno e medio porte ...,Ministério da Economia,Ministério da Economia - Unidades com vínculo direto,COORDENACAO-GERAL DE RECURSOS LOGISTICOS,AGENCIA DE DESENVOLVIMENTO ECONOMICO DO GRANDE ABC,"1.192.320,00",11/02/2014,31/07/2017,0,1154207,0
796085,00002/2013,SP,FRANCA,NORMAL,Não se aplica,"Apoio a melhoria do ambiente de negocios em Franca - SP, por meio da implantacao da sala do empreend...",Ministério da Economia,Ministério da Economia - Unidades com vínculo direto,SECRETARIA ESPECIAL MICRO E PEQUENA EMPRESA,MUNICIPIO DE FRANCA,"1.000.000,00",30/12/2013,31/07/2016,0,2154207,0
793014,00016/2013,SP,SÃO PAULO,PRESTAÇÃO DE CONTAS APROVADA,Não se aplica,"Desenvolvimento de programa de extensionismo industrial para 35 industrias de pequeno e medio porte,...",Ministério da Economia,Ministério da Economia - Unidades com vínculo direto,COORDENACAO-GERAL DE RECURSOS LOGISTICOS,FUNDACAO CARLOS ALBERTO VANZOLINI,"1.132.200,00",20/12/2013,28/04/2017,0,3286407,0
852380,20545/2017,SP,IPAUSSU,EM EXECUÇÃO,Não se aplica,Construcao de Infraestrutura para o Distrito Industrial,Ministério da Economia,Ministério da Economia - Unidades com vínculo direto,MDIC/CAIXA ECONOMICA FEDERAL,MUNICIPIO DE IPAUSSU,"390.000,00",30/11/2017,20/03/2022,0,0,0
806586,00004/2014,SP,SÃO PAULO,NORMAL,Não se aplica,Realizacao de feira de artesanato no municipio de Sao Paulo,Ministério da Economia,Ministério da Economia - Unidades com vínculo direto,SECRETARIA ESPECIAL MICRO E PEQUENA EMPRESA,MUNICIPIO DE SAO PAULO,"3.000.000,00",03/07/2014,30/01/2015,0,3000000,0
